TOP STOCK REPORT
================

Generated: 2026-03-20 23:35:57.323090

Top 205 Cumulative P/L Winners
------------------------------
Ticker | Trades | Total P/L | Avg/Trade
ARCB   |      3 | $     -399.28 | $   -133.09
ASO    |      2 | $     -399.36 | $   -199.68
PTCT   |      2 | $     -399.84 | $   -199.92
SOC    |      3 | $     -399.84 | $   -133.28
HUM    |      2 | $     -399.84 | $   -199.92
NE     |      2 | $     -400.04 | $   -200.02
UNM    |      3 | $     -400.40 | $   -133.47
EQT    |      2 | $     -400.76 | $   -200.38
CZR    |      3 | $     -400.96 | $   -133.65
CART   |      2 | $     -401.20 | $   -200.60
CBRE   |      2 | $     -401.28 | $   -200.64
ARRY   |      2 | $     -401.32 | $   -200.66
AS     |      2 | $     -401.76 | $   -200.88
CAMT   |      3 | $     -401.80 | $   -133.93
FORM   |      2 | $     -401.80 | $   -200.90
OKTA   |      3 | $     -401.88 | $   -133.96
DXCM   |      3 | $     -402.00 | $   -134.00
NVDA   |      2 | $     -402.00 | $   -201.00
UAL    |      2 | $     -402.28 | $   -201.14
KNX    |      2 | $     -402.28 | $   -201.14
TOST   |      2 | $     -402.28 | $   -201.14
BWA    |      2 | $     -402.32 | $   -201.16
TAL    |      2 | $     -402.32 | $   -201.16
CENX   |      2 | $     -402.96 | $   -201.48
GMED   |      2 | $     -403.20 | $   -201.60
ADI    |      3 | $     -403.20 | $   -134.40
ZIM    |      3 | $     -403.68 | $   -134.56
SE     |      2 | $     -403.68 | $   -201.84
CTAS   |      2 | $     -403.92 | $   -201.96
CCL    |      2 | $     -403.92 | $   -201.96
SSRM   |      2 | $     -404.00 | $   -202.00
BC     |      2 | $     -404.48 | $   -202.24
DK     |      3 | $     -404.80 | $   -134.93
CI     |      2 | $     -406.00 | $   -203.00
UUUU   |      2 | $     -406.80 | $   -203.40
CMC    |      2 | $     -407.68 | $   -203.84
SMCI   |      2 | $     -408.00 | $   -204.00
IBM    |      2 | $     -408.72 | $   -204.36
RCAT   |      5 | $     -409.00 | $    -81.80
SMTC   |      2 | $     -409.84 | $   -204.92
EOSE   |      2 | $     -410.08 | $   -205.04
BKSY   |      3 | $     -410.40 | $   -136.80
GFS    |      2 | $     -411.84 | $   -205.92
FND    |      2 | $     -414.12 | $   -207.06
EAT    |      2 | $     -414.16 | $   -207.08
JPM    |      3 | $     -414.40 | $   -138.13
SNDX   |      3 | $     -414.72 | $   -138.24
INMD   |      2 | $     -414.80 | $   -207.40
PCVX   |      2 | $     -414.96 | $   -207.48
AX     |      3 | $     -415.80 | $   -138.60
OSCR   |      2 | $     -416.16 | $   -208.08
CYH    |      2 | $     -416.48 | $   -208.24
LUV    |      2 | $     -417.88 | $   -208.94
KTOS   |      3 | $     -418.32 | $   -139.44
ESI    |      2 | $     -421.20 | $   -210.60
BLDR   |      2 | $     -421.20 | $   -210.60
AVT    |      3 | $     -421.20 | $   -140.40
AMD    |      3 | $     -421.60 | $   -140.53
INSP   |      2 | $     -433.60 | $   -216.80
DIN    |      5 | $     -439.62 | $    -87.92
KEY    |      3 | $     -456.32 | $   -152.11
HLF    |      3 | $     -461.44 | $   -153.81
HIMS   |      2 | $     -467.64 | $   -233.82
GT     |      2 | $     -523.60 | $   -261.80
DASH   |      3 | $     -550.44 | $   -183.48
FUTU   |      3 | $     -592.24 | $   -197.41
FAST   |      2 | $     -672.00 | $   -336.00
PWR    |      6 | $     -685.54 | $   -114.26
BYD    |      8 | $     -690.88 | $    -86.36
FLEX   |     13 | $     -691.64 | $    -53.20
APP    |      3 | $     -705.00 | $   -235.00
KBR    |      2 | $     -707.52 | $   -353.76

Remarks
-------
These tickers produced the highest cumulative dollar profit across all campaigns.
Momentum systems usually generate the majority of profits from a small number of stocks.
Reviewing the top 205 helps reveal recurring structural patterns.
Use this report to compare float, ADR, market cap, and sector profile of the true profit leaders.
