symbol,sid,entry_dt,hold_days,pnl_usd,return_pct,is_win,campaign_result,exit_type,SS,TR,RS,CMP,VQS,ADR,DCR,RMV,ORC,GRP,GRP_LABEL,DDV,PROK,RUNOK,STATE,RUNNER,SQZ,MODE,SS_bucket,TR_bucket,RS_bucket,CMP_bucket,VQS_bucket,RMV_bucket,ADR_bucket,DCR_bucket,ORC_bucket,GRP_bucket,DDV_bucket
DK,6,2025-09-22,1,191.36,0.0566,True,Partial Win,T1,72.0,97.0,95.0,52.0,32.0,5.6,18.0,2.0,0.36,-1,Weakening,70.3,1,0,Near Term,False,Off,Breakout,65–75,>85,>90,50–65,<40,<40,4–6,<30,0.25–0.50,Weakening,50–75
DK,6,2025-09-22,15,-199.68,-0.0591,False,Full Stop,Stop,72.0,97.0,95.0,52.0,32.0,5.6,18.0,2.0,0.36,-1,Weakening,70.3,1,0,Near Term,False,Off,Breakout,65–75,>85,>90,50–65,<40,<40,4–6,<30,0.25–0.50,Weakening,50–75
LPG,6,2023-10-26,4,-200.64,-0.0418,False,Full Stop,Stop,80.0,96.0,99.0,48.0,73.0,3.8,44.0,11.0,0.27,-1,Weakening,25.9,1,0,Ready Now,False,Off,Breakout,75–85,>85,>90,<50,60–75,<40,2–4,30–45,0.25–0.50,Weakening,20–50
LPG,6,2023-10-26,4,-200.64,-0.0418,False,Full Stop,Stop,80.0,96.0,99.0,48.0,73.0,3.8,44.0,11.0,0.27,-1,Weakening,25.9,1,0,Ready Now,False,Off,Breakout,75–85,>85,>90,<50,60–75,<40,2–4,30–45,0.25–0.50,Weakening,20–50
PUMP,6,2019-04-10,13,276.48,0.0539,True,Partial Win,T1,79.0,97.0,99.0,80.0,26.0,3.6,60.0,5.0,0.38,1,Improving/Strengthening,30.0,1,0,Near Term,False,Off,Breakout,75–85,>85,>90,80–90,<40,<40,2–4,60–75,0.25–0.50,Improving,20–50
PUMP,6,2019-04-10,16,-203.04,-0.0396,False,Full Stop,Stop,79.0,97.0,99.0,80.0,26.0,3.6,60.0,5.0,0.38,1,Improving/Strengthening,30.0,1,0,Near Term,False,Off,Breakout,75–85,>85,>90,80–90,<40,<40,2–4,60–75,0.25–0.50,Improving,20–50
RIG,6,2004-11-18,1,318.20,0.0577,True,Partial Win,T1,75.0,95.0,94.0,60.0,40.0,3.3,100.0,10.0,0.5,-1,Weakening,131.9,1,0,Ready Now,False,Off,Breakout,75–85,>85,>90,50–65,40–60,<40,2–4,>75,0.50–0.75,Weakening,100–200
RIG,6,2004-11-18,32,559.44,0.1015,True,Time Exit,TimeExit,75.0,95.0,94.0,60.0,40.0,3.3,100.0,10.0,0.5,-1,Weakening,131.9,1,0,Ready Now,False,Off,Breakout,75–85,>85,>90,50–65,40–60,<40,2–4,>75,0.50–0.75,Weakening,100–200
RIG,6,2007-12-21,6,531.08,0.0881,True,Partial Win,T1,75.0,91.0,98.0,40.0,67.0,2.9,100.0,12.0,0.3,1,Improving/Strengthening,1438.4,1,0,Ready Now,False,Off,Breakout,75–85,>85,>90,<50,60–75,<40,2–4,>75,0.25–0.50,Improving,>200
RIG,6,2007-12-21,25,-198.44,-0.0329,False,Full Stop,Stop,75.0,91.0,98.0,40.0,67.0,2.9,100.0,12.0,0.3,1,Improving/Strengthening,1438.4,1,0,Ready Now,False,Off,Breakout,75–85,>85,>90,<50,60–75,<40,2–4,>75,0.25–0.50,Improving,>200
TE,6,2026-01-02,0,246.28,0.1313,True,Partial Win,T1,65.0,87.0,92.0,33.0,40.0,10.4,32.0,7.0,0.32,-1,Weakening,124.1,1,0,Near Term,False,Off,Breakout,65–75,>85,>90,<50,40–60,<40,>10,30–45,0.25–0.50,Weakening,100–200
TE,6,2026-01-02,32,487.32,0.2598,True,Time Exit,TimeExit,65.0,87.0,92.0,33.0,40.0,10.4,32.0,7.0,0.32,-1,Weakening,124.1,1,0,Near Term,False,Off,Breakout,65–75,>85,>90,<50,40–60,<40,>10,30–45,0.25–0.50,Weakening,100–200
VAL,6,2025-12-01,2,141.60,0.0312,True,Partial Win,T1,78.0,88.0,96.0,57.0,67.0,4.0,46.0,6.0,0.26,2,Strong,48.3,1,0,Ready Now,False,Off,Breakout,75–85,>85,>90,50–65,60–75,<40,4–6,45–60,0.25–0.50,Strong,20–50
VAL,6,2025-12-01,4,364.00,0.0802,True,Partial Win,T2,78.0,88.0,96.0,57.0,67.0,4.0,46.0,6.0,0.26,2,Strong,48.3,1,0,Ready Now,False,Off,Breakout,75–85,>85,>90,50–65,60–75,<40,4–6,45–60,0.25–0.50,Strong,20–50
